"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"AJ Hall (SA)","2002-2007",21,33,4,760,"163",26.2,1,3,7,"https://stats.espncricinfo.com/ci/engine/player/45396.html?class=1;template=results;type=batting;view=innings"
"TA Boult (NZ)","2011-2022",78,94,46,759,"52*",15.81,0,1,13,"https://stats.espncricinfo.com/ci/engine/player/277912.html?class=1;template=results;type=batting;view=innings"
"T Stubbs (SA)","2024-2025",14,26,2,759,"122",31.62,2,3,2,"https://stats.espncricinfo.com/ci/engine/player/595978.html?class=1;template=results;type=batting;view=innings"
"Sami Aslam (PAK)","2015-2017",13,25,1,758,"91",31.58,0,7,0,"https://stats.espncricinfo.com/ci/engine/player/547079.html?class=1;template=results;type=batting;view=innings"
"LE Favell (AUS)","1954-1961",19,31,3,757,"101",27.03,1,5,2,"https://stats.espncricinfo.com/ci/engine/player/5220.html?class=1;template=results;type=batting;view=innings"
"HD Rutherford (NZ)","2013-2015",16,29,1,755,"171",26.96,1,1,2,"https://stats.espncricinfo.com/ci/engine/player/331375.html?class=1;template=results;type=batting;view=innings"
"Mohammad Amir (PAK)","2009-2019",36,67,11,751,"48",13.41,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/290948.html?class=1;template=results;type=batting;view=innings"
"GOB Allen (ENG)","1930-1948",25,33,2,750,"122",24.19,1,3,1,"https://stats.espncricinfo.com/ci/engine/player/8515.html?class=1;template=results;type=batting;view=innings"
"Mohammed Shami (IND)","2013-2023",64,89,27,750,"56*",12.09,0,2,18,"https://stats.espncricinfo.com/ci/engine/player/481896.html?class=1;template=results;type=batting;view=innings"
"S Venkataraghavan (IND)","1965-1983",57,76,12,748,"64",11.68,0,2,13,"https://stats.espncricinfo.com/ci/engine/player/35656.html?class=1;template=results;type=batting;view=innings"
"Nasim-ul-Ghani (PAK)","1958-1973",29,50,5,747,"101",16.6,1,2,8,"https://stats.espncricinfo.com/ci/engine/player/42057.html?class=1;template=results;type=batting;view=innings"
"R Abel (ENG)","1888-1902",13,22,2,744,"132*",37.2,2,2,1,"https://stats.espncricinfo.com/ci/engine/player/8480.html?class=1;template=results;type=batting;view=innings"
"SJ Harmison (ENG/ICC)","2002-2009",63,86,23,743,"49*",11.79,0,0,21,"https://stats.espncricinfo.com/ci/engine/player/14054.html?class=1;template=results;type=batting;view=innings"
"GAR Lock (ENG)","1952-1968",49,63,9,742,"89",13.74,0,3,8,"https://stats.espncricinfo.com/ci/engine/player/16331.html?class=1;template=results;type=batting;view=innings"
"PL Symcox (SA)","1993-1998",20,27,1,741,"108",28.5,1,4,1,"https://stats.espncricinfo.com/ci/engine/player/47267.html?class=1;template=results;type=batting;view=innings"
